label,random_init,joint,n_blocks,L,modulus_type,mixing_horizon,l2_penalty,actual_train_samples,head_acc,finetune_acc,finetune_gain,joint_acc,filter_delta_relative,n_params_extractor,n_params_classifier
4b_prelu_8L_h27_rand_s5,True,True,4,8,phase_relu,27.0,0.0,25000,,,,82.59,,4587052,91864
4b_prelu_8L_h27_s5,False,False,4,8,phase_relu,27.0,0.0,25000,63.23,82.93,19.7,,0.1537,4587052,91864
4b_prelu_8L_h27_s5_l2,False,False,4,8,phase_relu,27.0,0.005,25000,63.45,82.07,18.62,,0.06,4587052,91864
4b_prelu_4L_h243_rand_s10,True,True,4,4,phase_relu,243.0,0.0,50000,,,,85.19,,4835404,15760
4b_prelu_4L_h243_s10,False,False,4,4,phase_relu,243.0,0.0,50000,60.75,85.28,24.53,,0.6592,4835404,15760
4b_prelu_4L_h243_s10_l2,False,False,4,4,phase_relu,243.0,0.005,50000,60.44,77.4,16.96,,0.1807,4835404,15760
4b_prelu_4L_h27_rand_s10,True,True,4,4,phase_relu,27.0,0.0,50000,,,,84.29,,2022904,15760
4b_prelu_4L_h27_s10,False,False,4,4,phase_relu,27.0,0.0,50000,60.47,85.69,25.22,,0.4505,2022904,15760
4b_prelu_4L_h27_s10_l2,False,False,4,4,phase_relu,27.0,0.005,50000,60.63,84.81,24.18,,0.1501,2022904,15760
4b_prelu_6L_h243_rand_s10,True,True,4,6,phase_relu,243.0,0.0,50000,,,,86.25,,15996970,43228
4b_prelu_6L_h243_s10,False,False,4,6,phase_relu,243.0,0.0,50000,63.76,86.29,22.53,,0.6117,15996970,43228
4b_prelu_6L_h243_s10_l2,False,False,4,6,phase_relu,243.0,0.005,50000,63.84,85.63,21.79,,0.1042,15996970,43228
4b_prelu_6L_h27_rand_s10,True,True,4,6,phase_relu,27.0,0.0,50000,,,,85.94,,3751870,43228
4b_prelu_6L_h27_s10,False,False,4,6,phase_relu,27.0,0.0,50000,63.88,86.11,22.23,,0.3269,3751870,43228
4b_prelu_6L_h27_s10_l2,False,False,4,6,phase_relu,27.0,0.005,50000,63.71,85.37,21.66,,0.0919,3751870,43228
4b_prelu_8L_h243_rand_s10,True,True,4,8,phase_relu,243.0,0.0,50000,,,,87.08,,38704252,91864
4b_prelu_8L_h243_s10,False,False,4,8,phase_relu,243.0,0.0,50000,64.65,86.52,21.87,,0.6623,38704252,91864
4b_prelu_8L_h243_s10_l2,False,False,4,8,phase_relu,243.0,0.005,50000,64.74,84.69,19.95,,0.0795,38704252,91864
4b_prelu_8L_h27_rand_s10,True,True,4,8,phase_relu,27.0,0.0,50000,,,,86.48,,4587052,91864
4b_prelu_8L_h27_s10,False,False,4,8,phase_relu,27.0,0.0,50000,64.69,86.29,21.6,,0.2404,4587052,91864
